contingency_id,contingency_type,elements,probability,converged,solve_time,iterations,total_generation_mw,total_load_mw,total_losses_mw,max_voltage_pu,min_voltage_pu,max_line_loading_pct,pre_violations,post_violations,new_violations,cleared_violations,critical_violations,new_critical_violations,islands_created,islanded_buses_count,severity_score,criticality_level
N1_LINE_L_A003_B004,N-1,L_A003_B004,0.1623104364945452,True,0.3721737861633301,50,251.72239628186907,288.77550500001917,565.3812717297559,1.3091977927340934,1.0,0.301747704546678,90,90,0,0,59,0,0,0,9.0,high
N1_LINE_L_A003_B012,N-1,L_A003_B012,0.07642370873383979,True,0.44488048553466797,50,251.72239628186907,288.77550500001917,565.3812717297559,1.3091977927340934,1.0,0.301747704546678,90,90,0,0,59,0,0,0,9.0,high
N1_LINE_L_B019_B044,N-1,L_B019_B044,0.024195114681598105,True,0.5373795032501221,50,251.72239628186907,288.77550500001917,565.3812717297559,1.3091977927340934,1.0,0.301747704546678,90,90,0,0,59,0,0,0,9.0,high
N1_LINE_L_A008_A009,N-1,L_A008_A009,0.01866305044488018,True,0.46122193336486816,50,251.72239628186907,288.77550500001917,565.3812717297559,1.3091977927340934,1.0,0.301747704546678,90,90,0,0,59,0,0,0,9.0,high
N1_LINE_L_A001_A002,N-1,L_A001_A002,0.016768178359544292,True,0.5335094928741455,50,251.72239628186907,288.77550500001917,565.3812717297559,1.3091977927340934,1.0,0.301747704546678,90,90,0,0,59,0,0,0,9.0,high
N1_LINE_L_A045_A046,N-1,L_A045_A046,0.015492584140946484,True,0.6722736358642578,50,251.72239628186907,288.77550500001917,565.3812717297559,1.3091977927340934,1.0,0.301747704546678,90,90,0,0,59,0,0,0,9.0,high
N2_LINES_L_A003_B012_L_A003_B004,N-2,"L_A003_B012,L_A003_B004",0.015421068968586192,True,0.533393383026123,50,251.72239628186907,288.77550500001917,565.3812717297559,1.3091977927340934,1.0,0.301747704546678,90,90,0,0,59,0,0,0,9.0,high
N1_LINE_L_B016_B017,N-1,L_B016_B017,0.015191752348824125,True,0.5695347785949707,50,251.72239628186907,288.77550500001917,565.3812717297559,1.3091977927340934,1.0,0.301747704546678,90,90,0,0,59,0,0,0,9.0,high
N1_LINE_L_A011_A012,N-1,L_A011_A012,0.014422721764660666,True,0.6297318935394287,50,251.72239628186907,288.77550500001917,565.3812717297559,1.3091977927340934,1.0,0.301747704546678,90,90,0,0,59,0,0,0,9.0,high
N1_LINE_L_B001_B026,N-1,L_B001_B026,0.012432624950958855,True,0.4971911907196045,50,251.72239628186907,288.77550500001917,565.3812717297559,1.3091977927340934,1.0,0.301747704546678,90,90,0,0,59,0,0,0,9.0,high
