action_id,contingency_id,num_actions,primary_action_type,primary_target,primary_delta_mw,estimated_cost_usd,execution_success,violations_cleared,violations_remaining,final_cost_usd,execution_time_s,total_mw_redispatched,total_mw_shed
ACT_20250608_034928_N1_LINE_L_A001_B001,N1_LINE_L_A001_B001,5,reactive_dispatch,Generator B002,0,100.0,True,-48,53,100.0,0.08685493469238281,0.0,0.0
ACT_20250608_034928_N1_LINE_L_B001_B002,N1_LINE_L_B001_B002,5,reactive_dispatch,Generator B002,0,100.0,True,-48,53,100.0,0.08570456504821777,0.0,0.0
ACT_20250608_034928_N1_LINE_L_A004_A005,N1_LINE_L_A004_A005,5,reactive_dispatch,Generator B002,0,100.0,True,-48,53,100.0,0.09510397911071777,0.0,0.0
ACT_20250608_034928_N1_LINE_L_B006_B007,N1_LINE_L_B006_B007,5,reactive_dispatch,Generator B002,0,100.0,True,-48,53,100.0,0.1270134449005127,0.0,0.0
ACT_20250608_034928_N1_LINE_L_A012_A013,N1_LINE_L_A012_A013,5,reactive_dispatch,Generator B002,0,100.0,True,-48,53,100.0,0.11331915855407715,0.0,0.0
ACT_20250608_034928_N1_LINE_L_A025_A026,N1_LINE_L_A025_A026,5,reactive_dispatch,Generator B002,0,100.0,True,-48,53,100.0,0.1025691032409668,0.0,0.0
ACT_20250608_034929_N1_LINE_L_B021_B022,N1_LINE_L_B021_B022,5,reactive_dispatch,Generator B002,0,100.0,True,-48,53,100.0,0.08789420127868652,0.0,0.0
ACT_20250608_034929_N1_LINE_L_B020_B021,N1_LINE_L_B020_B021,5,reactive_dispatch,Generator B002,0,100.0,True,-48,53,100.0,0.08834719657897949,0.0,0.0
ACT_20250608_034929_N1_LINE_L_B022_B007,N1_LINE_L_B022_B007,5,reactive_dispatch,Generator B002,0,100.0,True,-48,53,100.0,0.10955429077148438,0.0,0.0
ACT_20250608_034929_N1_LINE_L_A005_A006,N1_LINE_L_A005_A006,5,reactive_dispatch,Generator B002,0,100.0,True,-48,53,100.0,0.09584426879882812,0.0,0.0
